"schid","stuid","ses","meanses","homework","white","parented","public","ratio","percmin","math","sex","race","sctype","cstr","scsize","urban","region","schnum"
7472,3,-0.129999995231628,-0.482608705759048,1,1,2,1,19,0,48,2,4,1,2,3,2,2,1
7472,8,-0.389999985694885,-0.482608705759048,0,1,2,1,19,0,48,1,4,1,2,3,2,2,1
7472,13,-0.800000011920929,-0.482608705759048,0,1,2,1,19,0,53,1,4,1,2,3,2,2,1
7472,17,-0.720000028610229,-0.482608705759048,1,1,2,1,19,0,42,1,4,1,2,3,2,2,1
7472,27,-0.740000009536743,-0.482608705759048,2,1,2,1,19,0,43,2,4,1,2,3,2,2,1
7472,28,-0.579999983310699,-0.482608705759048,1,1,2,1,19,0,57,2,4,1,2,3,2,2,1
7472,30,-0.829999983310699,-0.482608705759048,5,1,2,1,19,0,33,2,4,1,2,3,2,2,1
7472,36,-0.509999990463257,-0.482608705759048,1,1,3,1,19,0,64,1,4,1,2,3,2,2,1
7472,37,-0.560000002384186,-0.482608705759048,1,1,2,1,19,0,36,2,4,1,2,3,2,2,1
7472,42,0.209999993443489,-0.482608705759048,2,1,3,1,19,0,56,2,4,1,2,3,2,2,1
7472,52,-0.699999988079071,-0.482608705759048,1,1,2,1,19,0,48,2,4,1,2,3,2,2,1
7472,53,-0.189999997615814,-0.482608705759048,1,1,3,1,19,0,48,1,4,1,2,3,2,2,1
7472,61,-1.3400000333786,-0.482608705759048,1,1,2,1,19,0,44,1,4,1,2,3,2,2,1
7472,64,-1.58000004291534,-0.482608705759048,2,1,1,1,19,0,35,2,4,1,2,3,2,2,1
7472,72,-0.0500000007450581,-0.482608705759048,1,1,2,1,19,0,50,2,4,1,2,3,2,2,1
7472,83,-0.5,-0.482608705759048,4,1,3,1,19,0,36,2,4,1,2,3,2,2,1
7472,84,-0.259999990463257,-0.482608705759048,1,1,3,1,19,0,47,2,4,1,2,3,2,2,1
7472,85,-0.939999997615814,-0.482608705759048,2,1,1,1,19,0,41,2,4,1,2,3,2,2,1
7472,88,-0.46000000834465,-0.482608705759048,1,1,3,1,19,0,42,2,4,1,2,3,2,2,1
7472,93,-0.389999985694885,-0.482608705759048,1,1,3,1,19,0,49,1,4,1,2,3,2,2,1
7472,94,0.579999983310699,-0.482608705759048,1,1,3,1,19,0,39,2,4,1,2,3,2,2,1
7472,96,0.479999989271164,-0.482608705759048,1,1,3,1,19,0,45,1,4,1,2,3,2,2,1
7472,99,-0.699999988079071,-0.482608705759048,1,1,3,1,19,0,48,2,4,1,2,3,2,2,1
7829,0,-1.24000000953674,-0.84799998998642,2,0,3,1,18,7,58,2,3,1,5,3,1,2,2
7829,15,-1.53999996185303,-0.84799998998642,2,0,2,1,18,7,43,1,3,1,5,3,1,2,2
7829,17,-1.05999994277954,-0.84799998998642,1,0,1,1,18,7,49,1,3,1,5,3,1,2,2
7829,20,-0.0199999995529652,-0.84799998998642,1,0,3,1,18,7,42,1,3,1,5,3,1,2,2
7829,24,-1.62999999523163,-0.84799998998642,5,0,1,1,18,7,35,2,3,1,5,3,1,2,2
7829,25,-0.389999985694885,-0.84799998998642,2,0,2,1,18,7,38,1,3,1,5,3,1,2,2
7829,29,-1.07000005245209,-0.84799998998642,1,0,1,1,18,7,35,1,3,1,5,3,1,2,2
7829,31,-0.0199999995529652,-0.84799998998642,4,0,3,1,18,7,42,1,3,1,5,3,1,2,2
7829,34,0.109999999403954,-0.84799998998642,4,0,4,1,18,7,41,1,3,1,5,3,1,2,2
7829,38,0.129999995231628,-0.84799998998642,3,0,3,1,18,7,31,1,2,1,5,3,1,2,2
7829,44,-1.66999995708466,-0.84799998998642,2,0,1,1,18,7,41,1,3,1,5,3,1,2,2
7829,54,-1.63999998569489,-0.84799998998642,1,0,1,1,18,7,32,2,3,1,5,3,1,2,2
7829,62,-1.00999999046326,-0.84799998998642,0,0,3,1,18,7,65,1,3,1,5,3,1,2,2
7829,65,-1.00999999046326,-0.84799998998642,1,0,3,1,18,7,50,2,3,1,5,3,1,2,2
7829,66,-1.1599999666214,-0.84799998998642,3,0,1,1,18,7,37,1,3,1,5,3,1,2,2
7829,68,-0.28999999165535,-0.84799998998642,3,0,3,1,18,7,44,1,3,1,5,3,1,2,2
7829,81,-1.28999996185303,-0.84799998998642,3,0,1,1,18,7,44,2,3,1,5,3,1,2,2
7829,91,0.0299999993294477,-0.84799998998642,2,0,3,1,18,7,41,1,3,1,5,3,1,2,2
7829,93,-1.0900000333786,-0.84799998998642,3,0,2,1,18,7,39,2,3,1,5,3,1,2,2
7829,98,-1.10000002384186,-0.84799998998642,4,0,1,1,18,7,36,2,3,1,5,3,1,2,2
7930,3,0.980000019073486,0.147083327174187,4,1,4,1,14,1,65,2,4,1,4,6,3,2,3
7930,8,0.239999994635582,0.147083327174187,3,1,3,1,14,1,62,1,4,1,4,6,3,2,3
7930,11,0.349999994039536,0.147083327174187,1,0,4,1,14,1,44,2,1,1,4,6,3,2,3
7930,16,0.649999976158142,0.147083327174187,4,1,5,1,14,1,63,1,4,1,4,6,3,2,3
7930,21,-0.0299999993294477,0.147083327174187,2,1,3,1,14,1,43,2,4,1,4,6,3,2,3
7930,24,0.389999985694885,0.147083327174187,4,1,3,1,14,1,68,2,4,1,4,6,3,2,3
7930,26,-0.189999997615814,0.147083327174187,1,1,3,1,14,1,50,1,4,1,4,6,3,2,3
7930,34,-0.759999990463257,0.147083327174187,2,1,3,1,14,1,57,1,4,1,4,6,3,2,3
7930,43,-0.109999999403954,0.147083327174187,1,1,3,1,14,1,53,2,4,1,4,6,3,2,3
7930,52,1.21000003814697,0.147083327174187,1,1,6,1,14,1,48,1,4,1,4,6,3,2,3
7930,53,-1.85000002384186,0.147083327174187,2,0,1,1,14,1,53,2,1,1,4,6,3,2,3
7930,57,-0.899999976158142,0.147083327174187,1,1,2,1,14,1,47,1,4,1,4,6,3,2,3
7930,59,-0.870000004768372,0.147083327174187,0,1,2,1,14,1,36,1,4,1,4,6,3,2,3
7930,61,1.33000004291534,0.147083327174187,1,1,5,1,14,1,52,2,4,1,4,6,3,2,3
7930,63,1.48000001907349,0.147083327174187,3,1,6,1,14,1,70,2,4,1,4,6,3,2,3
7930,64,-0.759999990463257,0.147083327174187,2,0,3,1,14,1,51,2,1,1,4,6,3,2,3
7930,65,0.629999995231628,0.147083327174187,2,1,3,1,14,1,67,1,4,1,4,6,3,2,3
7930,68,-0.119999997317791,0.147083327174187,1,1,2,1,14,1,44,1,4,1,4,6,3,2,3
7930,71,0.0299999993294477,0.147083327174187,3,1,3,1,14,1,70,1,4,1,4,6,3,2,3
7930,73,-0.119999997317791,0.147083327174187,1,1,3,1,14,1,33,2,4,1,4,6,3,2,3
7930,81,1.04999995231628,0.147083327174187,2,1,5,1,14,1,70,2,4,1,4,6,3,2,3
7930,83,0.28999999165535,0.147083327174187,1,1,3,1,14,1,54,2,4,1,4,6,3,2,3
7930,90,-0.340000003576279,0.147083327174187,1,1,2,1,14,1,37,1,4,1,4,6,3,2,3
7930,97,0.949999988079071,0.147083327174187,1,1,5,1,14,1,41,2,4,1,4,6,3,2,3
24725,1,-1.66999995708466,-0.700909078121185,1,1,2,1,18,0,31,1,4,1,4,2,3,3,4
24725,5,-0.519999980926514,-0.700909078121185,0,1,2,1,18,0,39,1,4,1,4,2,3,3,4
24725,6,-0.449999988079071,-0.700909078121185,1,1,2,1,18,0,48,2,4,1,4,2,3,3,4
24725,7,-1.10000002384186,-0.700909078121185,1,1,1,1,18,0,34,1,4,1,4,2,3,3,4
24725,9,-2.03999996185303,-0.700909078121185,0,1,1,1,18,0,33,1,4,1,4,2,3,3,4
24725,10,0.0599999986588955,-0.700909078121185,1,1,3,1,18,0,47,1,4,1,4,2,3,3,4
24725,13,-0.0700000002980232,-0.700909078121185,0,1,3,1,18,0,40,2,4,1,4,2,3,3,4
24725,14,-1.21000003814697,-0.700909078121185,1,1,1,1,18,0,31,2,4,1,4,2,3,3,4
24725,16,-1.96000003814697,-0.700909078121185,2,1,1,1,18,0,36,1,4,1,4,2,3,3,4
24725,28,-0.379999995231628,-0.700909078121185,1,1,2,1,18,0,37,2,4,1,4,2,3,3,4
24725,30,-0.479999989271164,-0.700909078121185,5,1,3,1,18,0,62,2,4,1,4,2,3,3,4
24725,31,-1.04999995231628,-0.700909078121185,1,1,2,1,18,0,41,1,4,1,4,2,3,3,4
24725,37,-1.53999996185303,-0.700909078121185,1,1,2,1,18,0,41,2,4,1,4,2,3,3,4
24725,39,-0.140000000596046,-0.700909078121185,1,1,2,1,18,0,37,2,4,1,4,2,3,3,4
24725,51,0.920000016689301,-0.700909078121185,1,1,5,1,18,0,43,2,4,1,4,2,3,3,4
24725,54,-1.27999997138977,-0.700909078121185,2,1,1,1,18,0,40,2,4,1,4,2,3,3,4
24725,65,-1.30999994277954,-0.700909078121185,1,1,1,1,18,0,42,1,4,1,4,2,3,3,4
24725,68,-0.0199999995529652,-0.700909078121185,5,1,3,1,18,0,64,1,4,1,4,2,3,3,4
24725,78,-0.600000023841858,-0.700909078121185,4,1,2,1,18,0,54,2,4,1,4,2,3,3,4
24725,85,-0.129999995231628,-0.700909078121185,4,1,3,1,18,0,65,1,4,1,4,2,3,3,4
24725,88,-0.189999997615814,-0.700909078121185,1,0,2,1,18,0,45,1,2,1,4,2,3,3,4
24725,89,-0.259999990463257,-0.700909078121185,2,1,3,1,18,0,48,1,4,1,4,2,3,3,4
25456,1,0.439999997615814,-0.196818172931671,0,1,3,1,12,1,62,2,4,1,4,2,3,3,5
25456,4,-0.75,-0.196818172931671,2,1,3,1,12,1,33,2,4,1,4,2,3,3,5
25456,9,-0.889999985694885,-0.196818172931671,1,1,2,1,12,1,53,2,4,1,4,2,3,3,5
25456,13,0.479999989271164,-0.196818172931671,1,1,4,1,12,1,43,1,4,1,4,2,3,3,5
25456,19,-0.189999997615814,-0.196818172931671,0,1,3,1,12,1,54,2,4,1,4,2,3,3,5
25456,20,-0.200000002980232,-0.196818172931671,0,1,3,1,12,1,60,1,4,1,4,2,3,3,5
25456,29,0.0500000007450581,-0.196818172931671,2,1,3,1,12,1,58,1,4,1,4,2,3,3,5
25456,48,-0.430000007152557,-0.196818172931671,2,1,3,1,12,1,49,2,4,1,4,2,3,3,5
25456,51,-0.140000000596046,-0.196818172931671,0,1,3,1,12,1,49,2,4,1,4,2,3,3,5
25456,60,0.300000011920929,-0.196818172931671,1,1,3,1,12,1,53,1,4,1,4,2,3,3,5
25456,61,-0.490000009536743,-0.196818172931671,1,1,3,1,12,1,56,1,4,1,4,2,3,3,5
25456,65,-0.709999978542328,-0.196818172931671,1,1,3,1,12,1,58,1,4,1,4,2,3,3,5
25456,66,-0.209999993443489,-0.196818172931671,0,1,3,1,12,1,46,1,4,1,4,2,3,3,5
25456,67,-0.209999993443489,-0.196818172931671,2,1,2,1,12,1,32,1,4,1,4,2,3,3,5
25456,68,1.08000004291534,-0.196818172931671,0,1,5,1,12,1,60,2,4,1,4,2,3,3,5
25456,69,-1.28999996185303,-0.196818172931671,1,1,2,1,12,1,48,1,4,1,4,2,3,3,5
25456,74,0.219999998807907,-0.196818172931671,1,1,3,1,12,1,47,1,4,1,4,2,3,3,5
25456,76,-0.560000002384186,-0.196818172931671,0,1,3,1,12,1,52,2,4,1,4,2,3,3,5
25456,78,-0.529999971389771,-0.196818172931671,1,1,1,1,12,1,42,1,4,1,4,2,3,3,5
25456,84,0.230000004172325,-0.196818172931671,1,1,3,1,12,1,58,1,4,1,4,2,3,3,5
25456,97,-0.670000016689301,-0.196818172931671,0,1,1,1,12,1,41,2,4,1,4,2,3,3,5
25456,99,0.140000000596046,-0.196818172931671,2,1,3,1,12,1,43,2,4,1,4,2,3,3,5
25642,7,-0.0599999986588955,-1.06850004196167,1,0,3,1,11,6,42,1,2,1,4,4,1,3,6
25642,9,-2.07999992370605,-1.06850004196167,1,0,1,1,11,6,46,2,2,1,4,4,1,3,6
25642,24,-1.25,-1.06850004196167,1,0,3,1,11,6,43,2,2,1,4,4,1,3,6
25642,33,-0.860000014305115,-1.06850004196167,1,0,1,1,11,6,46,2,2,1,4,4,1,3,6
25642,36,-0.899999976158142,-1.06850004196167,1,0,1,1,11,6,47,1,2,1,4,4,1,3,6
25642,37,-2.41000008583069,-1.06850004196167,1,0,1,1,11,6,49,2,2,1,4,4,1,3,6
25642,42,0.180000007152557,-1.06850004196167,2,0,3,1,11,6,47,2,2,1,4,4,1,3,6
25642,44,-1.4099999666214,-1.06850004196167,1,0,1,1,11,6,44,2,2,1,4,4,1,3,6
25642,45,-1.04999995231628,-1.06850004196167,3,0,1,1,11,6,39,2,2,1,4,4,1,3,6
25642,57,-1.35000002384186,-1.06850004196167,1,1,3,1,11,6,41,1,4,1,4,4,1,3,6
25642,59,-1.11000001430511,-1.06850004196167,0,0,2,1,11,6,51,2,2,1,4,4,1,3,6
25642,63,-1.35000002384186,-1.06850004196167,0,0,1,1,11,6,45,1,2,1,4,4,1,3,6
25642,67,-0.529999971389771,-1.06850004196167,0,0,3,1,11,6,57,1,2,1,4,4,1,3,6
25642,73,-1.28999996185303,-1.06850004196167,1,0,2,1,11,6,47,1,2,1,4,4,1,3,6
25642,76,-1.91999995708466,-1.06850004196167,2,0,1,1,11,6,42,1,2,1,4,4,1,3,6
25642,80,-0.970000028610229,-1.06850004196167,1,0,3,1,11,6,47,2,2,1,4,4,1,3,6
25642,83,-0.330000013113022,-1.06850004196167,3,0,3,1,11,6,47,2,2,1,4,4,1,3,6
25642,84,-0.150000005960464,-1.06850004196167,1,0,2,1,11,6,51,2,2,1,4,4,1,3,6
25642,86,-2.23000001907349,-1.06850004196167,1,0,1,1,11,6,53,2,2,1,4,4,1,3,6
25642,95,-0.300000011920929,-1.06850004196167,1,0,3,1,11,6,44,1,2,1,4,4,1,3,6
62821,0,1.62999999523163,1.04462683200836,4,1,6,0,10,3,62,1,4,4,3,3,1,2,7
62821,1,0.479999989271164,1.04462683200836,5,1,4,0,10,3,68,2,4,4,3,3,1,2,7
62821,3,0.689999997615814,1.04462683200836,5,1,5,0,10,3,56,1,4,4,3,3,1,2,7
62821,4,0.600000023841858,1.04462683200836,5,1,4,0,10,3,68,2,4,4,3,3,1,2,7
62821,6,0.769999980926514,1.04462683200836,2,1,4,0,10,3,61,2,4,4,3,3,1,2,7
62821,7,1.19000005722046,1.04462683200836,2,1,5,0,10,3,61,2,4,4,3,3,1,2,7
62821,9,1.16999995708466,1.04462683200836,3,1,5,0,10,3,62,2,4,4,3,3,1,2,7
62821,11,1.12000000476837,1.04462683200836,1,1,6,0,10,3,60,2,4,4,3,3,1,2,7
62821,12,1.85000002384186,1.04462683200836,2,1,6,0,10,3,68,2,4,4,3,3,1,2,7
62821,13,0.75,1.04462683200836,0,1,4,0,10,3,63,1,4,4,3,3,1,2,7
62821,14,1,1.04462683200836,5,1,4,0,10,3,71,1,4,4,3,3,1,2,7
62821,16,1.79999995231628,1.04462683200836,1,1,6,0,10,3,61,1,4,4,3,3,1,2,7
62821,17,1.42999994754791,1.04462683200836,2,1,5,0,10,3,60,1,4,4,3,3,1,2,7
62821,18,-0.119999997317791,1.04462683200836,5,0,4,0,10,3,69,2,1,4,3,3,1,2,7
62821,19,0.980000019073486,1.04462683200836,6,0,5,0,10,3,70,2,3,4,3,3,1,2,7
62821,20,1,1.04462683200836,1,1,4,0,10,3,66,1,4,4,3,3,1,2,7
62821,22,1.23000001907349,1.04462683200836,2,1,5,0,10,3,63,1,4,4,3,3,1,2,7
62821,25,0.860000014305115,1.04462683200836,1,1,4,0,10,3,63,2,4,4,3,3,1,2,7
62821,26,0.180000007152557,1.04462683200836,2,1,4,0,10,3,67,2,4,4,3,3,1,2,7
62821,27,1.48000001907349,1.04462683200836,5,1,6,0,10,3,62,2,4,4,3,3,1,2,7
62821,28,1.25,1.04462683200836,4,1,5,0,10,3,51,2,4,4,3,3,1,2,7
62821,29,1.17999994754791,1.04462683200836,4,1,5,0,10,3,64,1,4,4,3,3,1,2,7
62821,30,0.639999985694885,1.04462683200836,1,1,5,0,10,3,57,2,4,4,3,3,1,2,7
62821,31,1.12999999523163,1.04462683200836,4,1,4,0,10,3,67,1,4,4,3,3,1,2,7
62821,32,1.82000005245209,1.04462683200836,1,1,6,0,10,3,57,1,4,4,3,3,1,2,7
62821,34,1.3400000333786,1.04462683200836,4,1,6,0,10,3,69,2,4,4,3,3,1,2,7
62821,35,0.680000007152557,1.04462683200836,1,1,4,0,10,3,54,1,4,4,3,3,1,2,7
62821,39,1.11000001430511,1.04462683200836,5,1,4,0,10,3,69,2,4,4,3,3,1,2,7
62821,40,1.39999997615814,1.04462683200836,5,1,5,0,10,3,63,2,4,4,3,3,1,2,7
62821,41,0.790000021457672,1.04462683200836,1,1,6,0,10,3,43,2,4,4,3,3,1,2,7
62821,42,1.61000001430511,1.04462683200836,5,1,6,0,10,3,60,2,4,4,3,3,1,2,7
62821,43,1.02999997138977,1.04462683200836,4,1,5,0,10,3,71,1,4,4,3,3,1,2,7
62821,44,1.37999999523163,1.04462683200836,0,1,5,0,10,3,63,1,4,4,3,3,1,2,7
62821,46,1.27999997138977,1.04462683200836,2,1,6,0,10,3,56,1,4,4,3,3,1,2,7
62821,47,0.560000002384186,1.04462683200836,5,1,4,0,10,3,65,2,4,4,3,3,1,2,7
62821,48,1.02999997138977,1.04462683200836,4,1,5,0,10,3,69,1,4,4,3,3,1,2,7
62821,49,1.29999995231628,1.04462683200836,2,1,5,0,10,3,61,2,4,4,3,3,1,2,7
62821,54,1.23000001907349,1.04462683200836,5,1,6,0,10,3,70,2,4,4,3,3,1,2,7
62821,56,1.41999995708466,1.04462683200836,1,1,6,0,10,3,56,1,4,4,3,3,1,2,7
62821,57,1.00999999046326,1.04462683200836,3,1,5,0,10,3,61,1,4,4,3,3,1,2,7
62821,60,1.32000005245209,1.04462683200836,4,1,6,0,10,3,60,1,4,4,3,3,1,2,7
62821,61,0.970000028610229,1.04462683200836,3,1,5,0,10,3,65,2,4,4,3,3,1,2,7
62821,63,1.30999994277954,1.04462683200836,4,1,4,0,10,3,64,1,4,4,3,3,1,2,7
62821,64,0.0900000035762787,1.04462683200836,7,1,3,0,10,3,65,1,4,4,3,3,1,2,7
62821,65,1.48000001907349,1.04462683200836,5,1,5,0,10,3,70,1,4,4,3,3,1,2,7
62821,66,-0.349999994039536,1.04462683200836,1,0,3,0,10,3,67,1,1,4,3,3,1,2,7
62821,68,0.400000005960464,1.04462683200836,1,1,3,0,10,3,63,2,4,4,3,3,1,2,7
62821,69,0.860000014305115,1.04462683200836,3,1,5,0,10,3,63,1,4,4,3,3,1,2,7
62821,70,0.850000023841858,1.04462683200836,4,1,4,0,10,3,64,1,4,4,3,3,1,2,7
62821,71,1.0900000333786,1.04462683200836,3,0,5,0,10,3,56,1,1,4,3,3,1,2,7
62821,72,1,1.04462683200836,3,1,4,0,10,3,63,2,4,4,3,3,1,2,7
62821,73,0.259999990463257,1.04462683200836,1,1,3,0,10,3,67,2,4,4,3,3,1,2,7
62821,75,0.980000019073486,1.04462683200836,4,0,5,0,10,3,54,1,1,4,3,3,1,2,7
62821,76,1.5,1.04462683200836,5,1,6,0,10,3,55,1,4,4,3,3,1,2,7
62821,77,0.930000007152557,1.04462683200836,3,1,5,0,10,3,67,1,4,4,3,3,1,2,7
62821,78,1.01999998092651,1.04462683200836,1,0,6,0,10,3,58,2,1,4,3,3,1,2,7
62821,80,1.54999995231628,1.04462683200836,5,1,6,0,10,3,57,1,4,4,3,3,1,2,7
62821,81,1.25999999046326,1.04462683200836,4,0,6,0,10,3,63,1,2,4,3,3,1,2,7
62821,82,1.67999994754791,1.04462683200836,6,1,6,0,10,3,67,2,4,4,3,3,1,2,7
62821,83,1.3400000333786,1.04462683200836,3,1,6,0,10,3,70,2,4,4,3,3,1,2,7
62821,86,1.04999995231628,1.04462683200836,5,1,5,0,10,3,69,1,4,4,3,3,1,2,7
62821,91,1.79999995231628,1.04462683200836,5,1,6,0,10,3,68,2,4,4,3,3,1,2,7
62821,92,0.680000007152557,1.04462683200836,5,1,4,0,10,3,52,1,4,4,3,3,1,2,7
62821,94,0.230000004172325,1.04462683200836,5,1,3,0,10,3,63,1,4,4,3,3,1,2,7
62821,95,1.22000002861023,1.04462683200836,2,1,6,0,10,3,55,2,4,4,3,3,1,2,7
62821,96,1.00999999046326,1.04462683200836,5,1,5,0,10,3,69,1,4,4,3,3,1,2,7
62821,99,1.17999994754791,1.04462683200836,4,1,5,0,10,3,68,1,4,4,3,3,1,2,7
68448,1,0.810000002384186,-0.170952379703522,3,0,4,1,14,5,69,1,2,1,3,6,1,3,8
68448,6,-0.709999978542328,-0.170952379703522,1,0,3,1,14,5,46,1,3,1,3,6,1,3,8
68448,16,-0.540000021457672,-0.170952379703522,2,0,1,1,14,5,46,2,3,1,3,6,1,3,8
68448,18,0.00999999977648258,-0.170952379703522,1,1,3,1,14,5,44,1,4,1,3,6,1,3,8
68448,19,0.899999976158142,-0.170952379703522,4,1,5,1,14,5,65,2,4,1,3,6,1,3,8
68448,20,0.970000028610229,-0.170952379703522,1,1,5,1,14,5,52,1,4,1,3,6,1,3,8
68448,21,-0.140000000596046,-0.170952379703522,1,1,3,1,14,5,40,1,4,1,3,6,1,3,8
68448,26,-0.129999995231628,-0.170952379703522,2,0,3,1,14,5,54,2,3,1,3,6,1,3,8
68448,36,-0.879999995231628,-0.170952379703522,3,1,3,1,14,5,58,1,4,1,3,6,1,3,8
68448,38,1.54999995231628,-0.170952379703522,2,1,6,1,14,5,53,2,4,1,3,6,1,3,8
68448,43,0.860000014305115,-0.170952379703522,3,1,6,1,14,5,62,2,4,1,3,6,1,3,8
68448,49,-0.550000011920929,-0.170952379703522,1,0,2,1,14,5,40,1,3,1,3,6,1,3,8
68448,50,-0.0199999995529652,-0.170952379703522,2,0,3,1,14,5,34,2,3,1,3,6,1,3,8
68448,51,-0.689999997615814,-0.170952379703522,1,0,3,1,14,5,41,2,3,1,3,6,1,3,8
68448,53,0.180000007152557,-0.170952379703522,2,0,3,1,14,5,46,1,3,1,3,6,1,3,8
68448,63,-0.920000016689301,-0.170952379703522,1,1,3,1,14,5,41,1,4,1,3,6,1,3,8
68448,68,-2.03999996185303,-0.170952379703522,2,0,1,1,14,5,60,1,3,1,3,6,1,3,8
68448,79,-0.990000009536743,-0.170952379703522,3,0,2,1,14,5,50,2,3,1,3,6,1,3,8
68448,81,-1.96000003814697,-0.170952379703522,1,0,1,1,14,5,35,2,3,1,3,6,1,3,8
68448,89,1.04999995231628,-0.170952379703522,5,1,5,1,14,5,65,2,4,1,3,6,1,3,8
68448,96,-0.349999994039536,-0.170952379703522,3,0,3,1,14,5,42,2,3,1,3,6,1,3,8
68493,0,0.759999990463257,-0.462857156991959,1,1,4,1,22,5,48,2,4,1,4,2,3,3,9
68493,7,-1.12000000476837,-0.462857156991959,1,0,2,1,22,5,45,1,3,1,4,2,3,3,9
68493,8,0.28999999165535,-0.462857156991959,2,1,3,1,22,5,48,1,4,1,4,2,3,3,9
68493,14,-0.990000009536743,-0.462857156991959,4,0,2,1,22,5,62,2,3,1,4,2,3,3,9
68493,17,-0.490000009536743,-0.462857156991959,0,0,4,1,22,5,43,1,3,1,4,2,3,3,9
68493,20,-0.319999992847443,-0.462857156991959,1,1,2,1,22,5,56,2,4,1,4,2,3,3,9
68493,29,-0.28999999165535,-0.462857156991959,2,1,2,1,22,5,40,2,4,1,4,2,3,3,9
68493,36,-1.41999995708466,-0.462857156991959,1,0,2,1,22,5,37,1,3,1,4,2,3,3,9
68493,39,-2.03999996185303,-0.462857156991959,1,0,1,1,22,5,34,2,3,1,4,2,3,3,9
68493,47,-1.10000002384186,-0.462857156991959,1,0,1,1,22,5,38,1,3,1,4,2,3,3,9
68493,50,1.25,-0.462857156991959,1,1,5,1,22,5,40,1,4,1,4,2,3,3,9
68493,53,-0.560000002384186,-0.462857156991959,2,1,2,1,22,5,37,2,4,1,4,2,3,3,9
68493,59,0.709999978542328,-0.462857156991959,1,1,4,1,22,5,56,1,4,1,4,2,3,3,9
68493,61,-1.33000004291534,-0.462857156991959,1,0,1,1,22,5,41,2,3,1,4,2,3,3,9
68493,66,-0.119999997317791,-0.462857156991959,3,1,3,1,22,5,71,1,4,1,4,2,3,3,9
68493,68,-0.689999997615814,-0.462857156991959,0,1,1,1,22,5,48,2,4,1,4,2,3,3,9
68493,74,-0.660000026226044,-0.462857156991959,1,1,2,1,22,5,42,1,4,1,4,2,3,3,9
68493,82,-1.17999994754791,-0.462857156991959,1,0,1,1,22,5,41,2,3,1,4,2,3,3,9
68493,88,0.819999992847443,-0.462857156991959,2,1,6,1,22,5,60,1,4,1,4,2,3,3,9
68493,89,-0.850000023841858,-0.462857156991959,1,0,2,1,22,5,42,2,3,1,4,2,3,3,9
68493,92,-0.389999985694885,-0.462857156991959,1,1,2,1,22,5,44,2,4,1,4,2,3,3,9
72292,2,-0.860000014305115,-0.504500031471252,5,1,2,1,17,1,68,2,4,1,4,2,1,1,10
72292,17,-0.409999996423721,-0.504500031471252,3,1,3,1,17,1,50,1,4,1,4,2,1,1,10
72292,44,-0.439999997615814,-0.504500031471252,1,1,2,1,17,1,43,2,4,1,4,2,1,1,10
72292,49,-0.189999997615814,-0.504500031471252,2,1,3,1,17,1,44,2,4,1,4,2,1,1,10
72292,52,-1.02999997138977,-0.504500031471252,0,1,2,1,17,1,37,1,4,1,4,2,1,1,10
72292,53,0.0299999993294477,-0.504500031471252,4,1,4,1,17,1,67,1,4,1,4,2,1,1,10
72292,56,-0.720000028610229,-0.504500031471252,1,1,3,1,17,1,37,1,4,1,4,2,1,1,10
72292,63,-1.27999997138977,-0.504500031471252,2,1,1,1,17,1,43,2,4,1,4,2,1,1,10
72292,67,-0.839999973773956,-0.504500031471252,0,1,2,1,17,1,36,2,4,1,4,2,1,1,10
72292,68,-0.490000009536743,-0.504500031471252,0,1,2,1,17,1,37,1,4,1,4,2,1,1,10
72292,71,-0.670000016689301,-0.504500031471252,2,1,2,1,17,1,62,1,4,1,4,2,1,1,10
72292,76,0.0900000035762787,-0.504500031471252,3,1,3,1,17,1,64,2,4,1,4,2,1,1,10
72292,77,-0.189999997615814,-0.504500031471252,3,1,4,1,17,1,64,1,4,1,4,2,1,1,10
72292,82,-0.159999996423721,-0.504500031471252,1,1,3,1,17,1,37,1,4,1,4,2,1,1,10
72292,85,-0.560000002384186,-0.504500031471252,0,1,3,1,17,1,46,2,4,1,4,2,1,1,10
72292,89,-0.230000004172325,-0.504500031471252,2,1,3,1,17,1,43,1,4,1,4,2,1,1,10
72292,92,-1.11000001430511,-0.504500031471252,0,1,1,1,17,1,45,1,4,1,4,2,1,1,10
72292,97,-0.28999999165535,-0.504500031471252,1,1,3,1,17,1,47,1,4,1,4,2,1,1,10
72292,98,-1.19000005722046,-0.504500031471252,1,1,1,1,17,1,34,1,4,1,4,2,1,1,10
72292,99,0.449999988079071,-0.504500031471252,1,1,4,1,17,1,53,2,4,1,4,2,1,1,10
